City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Albany,42.6,-73.97,81.0,68,18,7.29,US,2020-06-29 17:10:03
70,Zonguldak,41.25,31.83,63.75,73,0,2.64,TR,2020-06-29 17:20:17
71,Dikson,73.51,80.55,50.2,69,23,17.72,RU,2020-06-29 17:11:14
72,Quatre Cocos,-20.21,57.76,69.8,88,75,2.24,MU,2020-06-29 17:12:12
73,Sabla,12.75,4.71,95.65,36,54,4.65,NG,2020-06-29 17:20:17
74,Mizdah,31.45,12.98,97.68,16,2,20.94,LY,2020-06-29 17:20:18
75,Tiksi,71.69,128.87,44.44,62,53,7.58,RU,2020-06-29 17:11:44
76,Vaini,-21.2,-175.2,77.0,94,90,6.93,TO,2020-06-29 17:11:25
77,Harper,4.38,-7.72,77.99,79,72,11.83,LR,2020-06-29 17:11:40
78,East London,-33.02,27.91,67.15,51,38,19.17,ZA,2020-06-29 17:10:45
79,Hermanus,-34.42,19.23,57.0,93,84,4.5,ZA,2020-06-29 17:11:13
80,Hervey Bay,-25.3,152.85,57.99,89,0,5.01,AU,2020-06-29 17:20:18
81,Denpasar,-8.65,115.22,78.8,100,20,9.17,ID,2020-06-29 17:09:37
82,Abu Kamal,34.45,40.92,95.43,14,0,12.71,SY,2020-06-29 17:20:18
83,Ancud,-41.87,-73.82,46.4,93,75,4.7,CL,2020-06-29 17:11:12
84,Guerrero Negro,27.98,-114.06,70.63,62,52,8.79,MX,2020-06-29 17:07:36
85,Lebu,-37.62,-73.65,50.13,92,100,7.94,CL,2020-06-29 17:11:13
86,Frutal,-20.02,-48.94,81.1,47,98,9.64,BR,2020-06-29 17:20:20
87,Mahebourg,-20.41,57.7,69.8,88,75,2.24,MU,2020-06-29 17:11:14
88,Polyarnyy,69.2,33.45,46.4,75,75,8.95,RU,2020-06-29 17:20:20
89,Leh,34.17,77.58,60.22,29,3,4.92,IN,2020-06-29 17:20:20
90,Flinders,-34.58,150.86,50.0,88,30,4.7,AU,2020-06-29 17:20:20
91,San Andres,12.58,-81.7,82.4,78,75,10.29,CO,2020-06-29 17:15:49
